ID;FECHA;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD_KM;MAGNITUD_MI;DEPARTAMENTO;MUNICIPIO;CANTIDAD;DÍA;MES
S_84;12/03/2022;3:22:29;4.709;-75.983;66.02;1.3;VALLE DEL CAUCA;CARTAGO;1;12;3
S_85;2/05/2022;23:20:47;4.726;-75.979;99.77;1.3;VALLE DEL CAUCA;CARTAGO;1;2;5
S_86;23/05/2022;23:36:59;4.727;-75.931;54.88;1;VALLE DEL CAUCA;CARTAGO;1;23;5
S_87;8/06/2022;20:08:01;4.729;-75.946;48.79;1.2;VALLE DEL CAUCA;CARTAGO;1;8;6
S_88;26/07/2022;17:12:00;4.78;-75.973;18.89;1.5;VALLE DEL CAUCA;CARTAGO;1;26;7
S_89;19/08/2022;4:18:33;4.761;-75.929;46.21;1.4;VALLE DEL CAUCA;CARTAGO;1;19;8
S_90;23/08/2022;7:01:52;4.76;-75.958;47.73;0.9;VALLE DEL CAUCA;CARTAGO;1;23;8
S_91;25/08/2022;3:16:08;4.744;-75.954;45.98;1.6;VALLE DEL CAUCA;CARTAGO;1;25;8
S_92;3/10/2022;21:34:59;4.762;-75.926;114.08;1.9;VALLE DEL CAUCA;CARTAGO;1;3;10
S_93;5/10/2022;2:58:31;4.715;-75.921;106.09;1.4;VALLE DEL CAUCA;CARTAGO;1;5;10
S_94;16/11/2022;2:03:50;4.722;-75.876;13.05;1;VALLE DEL CAUCA;CARTAGO;1;16;11
S_95;16/11/2022;23:31:17;4.655;-75.886;12.93;1.2;VALLE DEL CAUCA;CARTAGO;1;16;11
S_96;23/11/2022;3:15:08;4.682;-76.007;71.76;1.1;VALLE DEL CAUCA;CARTAGO;1;23;11
S_97;4/12/2022;4:38:36;4.655;-75.832;32.62;0.9;VALLE DEL CAUCA;CARTAGO;1;4;12
S_98;17/12/2022;0:58:05;4.746;-75.955;47.44;2.1;VALLE DEL CAUCA;CARTAGO;1;17;12
S_99;17/12/2022;1:07:50;4.733;-75.935;49.73;1.2;VALLE DEL CAUCA;CARTAGO;1;17;12
S_100;13/01/2023;13:43:09;4.79;-75.927;51.84;0.9;VALLE DEL CAUCA;CARTAGO;1;13;1
S_101;24/01/2023;1:30:31;4.747;-75.864;101.64;1.5;VALLE DEL CAUCA;CARTAGO;1;24;1
S_102;30/01/2023;0:56:22;4.685;-75.875;102.46;1.3;VALLE DEL CAUCA;CARTAGO;1;30;1
S_103;14/02/2023;9:05:00;4.662;-75.909;45.92;2.2;VALLE DEL CAUCA;CARTAGO;1;14;2
S_104;9/03/2023;18:23:03;4.685;-75.835;37.6;1.7;VALLE DEL CAUCA;CARTAGO;1;9;3
S_105;31/03/2023;7:33:39;4.795;-75.95;107.12;1.3;VALLE DEL CAUCA;CARTAGO;1;31;3
S_106;28/05/2023;19:36:01;4.649;-75.869;40.35;1.1;VALLE DEL CAUCA;CARTAGO;1;28;5
S_107;15/07/2023;6:42:30;4.717;-75.953;103.98;1.1;VALLE DEL CAUCA;CARTAGO;1;15;7
S_108;15/08/2023;0:25:27;4.644;-75.874;134.8;1.3;VALLE DEL CAUCA;CARTAGO;1;15;8
S_109;27/08/2023;21:48:53;4.764;-75.962;71.64;2.7;VALLE DEL CAUCA;CARTAGO;1;27;8
S_110;29/08/2023;16:51:36;4.648;-75.92;35.47;2.3;VALLE DEL CAUCA;CARTAGO;1;29;8
S_111;1/09/2023;12:33:29;4.68;-75.992;45.98;1.1;VALLE DEL CAUCA;CARTAGO;1;1;9
S_112;16/09/2023;7:26:49;4.723;-75.858;107.15;1.6;VALLE DEL CAUCA;CARTAGO;1;16;9
S_113;1/10/2023;19:13:03;4.787;-75.939;46.04;2.3;VALLE DEL CAUCA;CARTAGO;1;1;10
S_114;19/10/2023;1:58:32;4.669;-75.998;3;1.2;VALLE DEL CAUCA;CARTAGO;1;19;10
S_115;6/11/2023;23:53:11;4.735;-75.946;109.02;1.5;VALLE DEL CAUCA;CARTAGO;1;6;11
S_116;17/11/2023;10:14:28;4.765;-75.933;28.63;1.2;VALLE DEL CAUCA;CARTAGO;1;17;11
S_117;17/11/2023;10:19:56;4.737;-75.969;19.74;1;VALLE DEL CAUCA;CARTAGO;1;17;11
S_118;19/12/2023;6:17:05;4.647;-75.836;37.83;1.2;VALLE DEL CAUCA;CARTAGO;1;19;12
S_119;8/01/2024;13:49:40;4.789;-75.953;42.29;1.3;VALLE DEL CAUCA;CARTAGO;1;8;1
S_120;9/01/2024;11:23:23;4.651;-75.884;117.1;1.1;VALLE DEL CAUCA;CARTAGO;1;9;1
S_121;15/01/2024;3:54:23;4.713;-76.004;52.89;1.4;VALLE DEL CAUCA;CARTAGO;1;15;1
S_122;19/01/2024;11:31:41;4.756;-75.984;48.26;3.4;VALLE DEL CAUCA;CARTAGO;1;19;1
S_123;19/01/2024;11:36:47;4.798;-75.926;60.57;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_124;19/01/2024;11:39:01;4.739;-75.983;42.11;1.8;VALLE DEL CAUCA;CARTAGO;1;19;1
S_125;19/01/2024;11:40:23;4.763;-75.967;42.7;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_126;19/01/2024;11:43:23;4.693;-75.997;53.48;1.6;VALLE DEL CAUCA;CARTAGO;1;19;1
S_127;19/01/2024;11:44:06;4.672;-75.955;64.78;1.7;VALLE DEL CAUCA;CARTAGO;1;19;1
